股票代號,股票名稱,2020股利,2019股利,2018股利,2017股利,2016股利,2015股利
5536,聖暉,12,15,15.00442912,14.50123017,8.01425153,
1580,新麥,6.79,5,6.5,8.350000167,8.5,
6218,豪勉,1,1.4,1.6,1.2,1.2,
4527,方土霖,2,1.6,2,2,2.2,
4550,長佳,1.68,1.70000002,1.25,1.27158016,1.97353042,
8032,光菱,1,1.13,2,1.7,1.8,
1808,潤隆,0.8,4,8,3.53781015,5.07487174,
5016,松和,2,1.3,2.5,3,2.5,
2063,世鎧,2,2.5,3,2.5,1.2,
5438,東友,0.1,0.44,1.05,1.5,1.2,
2545,皇翔,4.5,1.2,1.8,1.5,4.5,
1522,堤維西,0.6,1.4,1.3,1.6,2,
1776,展宇,1,0.84563927,0.8,1.5,1.6,
3558,神準,4,5.2,6.5,6,8,
5490,同亨,2,1.5,0.5,1,4,
8424,惠普,4,4,3.8,3.5,3,
6154,順發,0.55,0.6,1,1,1,
6186,新潤,1.75,3,1,1.5,2,
6506,雙邦,0.8,1.1,1.2,1.3,1.7,
8383,千附,2.5,2.5,2.5,2.7,2.7,
4138,曜亞,3.5,3.35,3.15,3.4,3.56,
5878,台名,3.2,3,2.75,3.2,3.2,
3303,岱稜,1.4,1.6687643,1.6,0.49070139,1.5,
6263,普萊德,4,4.5,4.3,4.3,3.9,
6596,寬宏藝術,4.5,4.5,2.999,4.5,3,
5245,智晶,1,0.43,1.5,5,5,
6143,振曜,2,2.84971131,4,2,3,
3531,先益,1,1.8,1.2,2,1.1,
6177,達麗,0.2,2.99870842,0.99911832,4.4152999,2.18750632,
5312,寶島科,4,4,3.8,3.8,3.6,
8048,德勝,2.3,2.5,2.2,2.2,2.01931757,
8074,鉅橡,1,1,1.24,1.38886337,1.66932813,
3213,茂訊,4.5,4.19999999,2.8,4,3.4,
1442,名軒,0.5,0.98689712,1,1.79729648,1.987460363,
6114,翔昇,0.7,1.2,1.5,2,3,
3567,逸昌,2,1.7086617,2,2.3,2,
2221,大甲,1,1.5,2.1049616,1.503544,1.30307147,
6266,泰詠,1.38,1.57999999,2.43999999,1.16,0.68,
3479,安勤,2.6,4,2.6,2.60353209,3.60077936,
6486,互動,6,6,4.8,3.2,3.5,
8446,華研,7,3.5,3.5,9,4.5,
6179,亞通,1.87970108,1.5,1.5,2,2.87847473,
4916,事欣科,0.5,2,2.47270363,0.98909225,2,
5287,數字,13.83087439,12.8,12.50102758,15.5,15.00088067,
6195,詩肯,4,1.8,3,3.93565934,2.96856922,
8489,三貝德,0.7,1.59115547,5.5,7.000000267,1.900000673,3.5
5410,國眾,1.7,1.5,1.3,1.23,1,
1540,喬福,0.5,1,1.5,0.6,1,
2066,世德,1.7,2.32244946,3,3.02043806,5,
8435,鉅邁,3.5,3.35,3.2,3.3,3,
8942,森鉅,3,4,5.56411614,3.01933509,5.24518436,
9934,成霖,0.5,0.6,1.29815091,1.49967266,0.9792489,
3556,禾瑞亞,3.45,3.3,3.3,4.1,4.1,
3388,崇越電,4.3,3.6,5.1,4.6028,4,
4417,金洲,2.5,2,2.49999999,1.7999999,2.4,
6207,雷科,1.5,1.20115888,2.5,1.7999999,1.5,
8349,恒耀,2.12,2,4.65771382,5.49072658,4.8518026,
8416,實威,7,7,7.5,7,6,
4420,光明,3,2,1,2,1,
8050,廣積,1.8,2.0081456,1.99887,2.5109309,4.41391079,
6470,宇智,3.5,2.5,2.5,2,4,
8109,博大,3.5,4.02470716,5.5,4,4.5,
3684,榮昌,1.5,2.14956184,1.5354013,2.7,2.5003556,
6294,智基,9.5,8,8,8.5,8.5,
4974,亞泰,3.5,3.3,3.1,2.75,2.48684888,
3550,聯穎,0.5,0.5,1,1.5,1.5,
3402,漢科,2.7,1.53170445,3,2.45,2,
6442,光聖,1,1.36,2,2,3.3,
1539,巨庭,0,0.8,1.8,1,1.2,
1813,寶利徠,0,1,2,1,1,
3492,長盛,0.28,0.8,1,1.2,1.7,
2419,仲琦,1,0.8,0.81352955,1.22560075,1.77283324,
2511,太子,0.4,0.5,0.65,0.65,1,
2483,百容,0.7,1,1.28802464,1.3,1.3,
6161,捷波,1.6,0.9,1.6,1.1,0.9,
2069,運錩,0.55,0.5,2.5,1.54048017,1.63771176,
3491,昇達科,2.5,3.99599107,3.996087918,3.85,4,
2527,宏璟,1.4,1.8,1.2,0.8,0.8,
2916,滿心,1.5,1.1,1.4,1.2,0.7,
6530,創威,1,1,1,1,1,
3455,由田,4,3,3,2.05406782,3.4982918,
5511,德昌,2,2.2,2.1,1.20002378,0.5,
9951,皇田,4.7,3.5,4.2,5.3,5.8,
1451,年興,0.6,0,2,1.5,1.5,
5512,力麒,0.33,0.6,0.4,0.7,0.5,
